meeting_id,title,summary,participant_count,internal_count,external_count,transcript_excerpt,suggested_label,manual_label
01KQ03B0303900521BB089CA,Detect Outage - Remediation Plan Review,"Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving customers with zero threat monitoring visibility for approximately six hours. The remediation plan includes deploying redundant active-active processing nodes (live by end of day) and implementing a circuit breaker pattern (by Wednesday evening), with full tenant visibility restored in a phased rollout by tomorrow morning. The team aligned on communication protocols, retroactive security analysis, and a postmortem timeline.",3,3,0,"Megan Lawson: Alright, I think we're all on - Raj, Brian, can you both hear me okay? Raj Kapoor: Yeah, I'm here. Audio's good. Brian Cho: Yep, I'm on. Give me one sec, I'm just pulling up the incident doc. Megan Lawson: Sure, take your time. So, uh, the reason I wanted to get us together today - obviously we're still in the middle of this, day three of the outage window - I want to make sure we have a clear remediation plan and that we're all aligned before we send anything else externally. Raj Kapoor: Yeah, agreed. I've been heads-down with the engineering team since Saturday and I think we have a pretty solid picture of the root cause at this point. Do you want me to just walk through it? ",customer_support,internal
01KQ0C1280EDA4E70AAD7C35,Support Case #9279 - Summit Trust Billing Inquiry,"Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to approximately 200 test accounts created during a December migration that were never deprovisioned. Sarah agreed to submit a billing adjustment request to the finance team, which will take 5-7 business days to review. Gregory also received guidance on bulk deprovisioning test accounts and setting up usage threshold alerts to prevent recurrence.",2,1,1,"Sarah Chen: Thank you for calling Aegis Cloud Security support, this is Sarah Chen, how can I help you today? Gregory Fisk: Hi Sarah, yeah this is Gregory Fisk, I'm the IT Director over at Summit Trust, I have a support case open - case number 9279 - regarding a billing question. Sarah Chen: Great, let me pull that up right now, Gregory - and thanks for the case number, that helps a lot. Gregory Fisk: Sure, no problem. Sarah Chen: Okay, I'm seeing case 9279 here, Summit Trust, billing inquiry submitted... looks like February 4th. So can you walk me through what you're seeing on your end? Gregory Fisk: Yeah so, uh, we received our January invoice last week and there's a line item on there tha",customer_support,customer_support
01KQ0CAE7F064EC93F0540CA,Weekly Engineering Standup,"The engineering team held a sprint status check-in covering the Detect pipeline reliability work and the upcoming Comply v2 launch. Mike Romano reported being 60% through the event ingestion refactor, with the end-of-March deadline assessed at roughly 60-40 odds due to uncertainty around Kafka configuration and redundant node setup. Tyler Washington completed alert deduplication work and will assist by spiking on the Kafka investigation to help reduce risk. Tom Bradley will communicate to product that the March target stands but carries acknowledged technical uncertainty, while Chris Lee continues weekly syncs with Priya's team on the Comply v2 April launch.",4,4,0,"Chris Lee: Alright, I think we've got everyone on now - Tom, you there? Tom Bradley: Yeah, I'm here, sorry - had to jump off another call, go ahead. Chris Lee: No worries. Okay, so usual format - let's do a quick status round, then I want to spend some time on the Detect pipeline work and the Comply v2 timeline. Mike, you want to kick us off? Mike Romano: Sure. So on my end, I've been heads down on the event ingestion refactor. We're about sixty percent through the work - the new queue partitioning is done, and I've got a draft PR up for the retry logic. Still need to wire up the dead letter queue handling and then we can start integration testing. Chris Lee: And that's all under the Detect ",internal,internal
01KQ0DFE299AC7A74E8022CA,Aegis / Redwood Clinical - ISO 27001 Preparation,"Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a formal audit targeted for Q1 2027, and highlighted pain points around evidence collection and continuous monitoring. Kevin walked through Comply v2's on-demand reporting engine, which maps live environment data to Annex A controls and supports multi-framework coverage including HIPAA and SOC 2. The team agreed on a clear set of next steps: activating Comply v2 on Redwood's tenant, running a baseline report, and scheduling a technical working session with Thomas and his security analyst Priya.",3,2,1,"Daniel Okafor: Hey Thomas, can you hear us okay? Thomas Hargrove: Yeah, loud and clear - good to hear from you guys, it's been a couple weeks. Daniel Okafor: Good, good - yeah sorry it took us a bit to get this on the calendar, things have been moving fast on our end with the Comply v2 launch and everything. Daniel Okafor: Actually that's kind of why we're here today, right, so - Thomas, I also want to introduce Kevin, he's our solutions architect and he's going to be the technical lead on your ISO 27001 prep work. Kevin O'Brien: Hey Thomas, great to meet you - I've been looking forward to this one, Daniel's told me a lot about what Redwood is trying to accomplish this year. Thomas Hargrove:",customer_support,external
01KQ0F8AFF3DA34FD4580008,Aegis / Cobalt Software - Q2 Planning,"Lisa Park (CSM) met with Lauren Bishop to discuss the upcoming June renewal, address the March Detect outage, and review the recently released Comply v2. Lauren was candid about internal concerns raised by the six-hour outage and noted that procurement is requiring at least one competitive quote from SentinelShield. The team is planning to expand their cloud workload footprint by about 40 workloads through Q3, which will factor into renewal pricing options. Lisa committed to sending the post-incident review, preparing two renewal proposal options, and scheduling a compliance walkthrough for June.",2,1,1,"Lisa Park: Hey Lauren, thanks for making time this morning - I know Q2 planning season gets pretty hectic. Lauren Bishop: Yeah, no kidding, it's been a lot. But this was already on my calendar so I made sure to protect it. Lisa Park: I appreciate that. So, just to set the agenda for today - I wanted to walk through where things stand on the renewal, get your feedback on how the platform's been performing, and then we can talk about what your roadmap looks like for the rest of the year. Lauren Bishop: That works. And I do have some things I want to flag, so... yeah, let's just get into it. Lisa Park: Of course. Why don't you go first actually - what's on your mind? Lauren Bishop: Okay, so the",customer_support,external
01KQ1267C6AA7D9B3125FEC8,SOC 2 Audit Preparation - Internal,"Raj Kapoor convened a meeting with Tyler, Ravi, Brian, and Mike to prepare for an upcoming SOC 2 Type II audit with a 90-day observation period starting March 1st. The team reviewed key control areas including access control, change management, incident tracking, monitoring, vendor management, and employee security training. Several gaps were identified, including a broken Zendesk-PagerDuty integration, inconsistent hotfix documentation, alert fatigue in the monitoring system, and incomplete security training completions. Action items were assigned to each team member with tight deadlines before the observation window opens.",5,5,0,"Raj Kapoor: Alright, I think we've got everyone on. Let me just do a quick roll call - Tyler, Raj, Ravi, Brian, Mike - okay yeah looks like we're all here. Tyler Washington: Yep, I'm here. Ravi Gupta: Here. Brian Cho: Yeah, good to go. Mike Romano: Here, sorry I'm like thirty seconds late, had a thing. Raj Kapoor: No worries. Okay so, the reason I pulled everyone together today - as you all know we've got our SOC 2 Type II audit window coming up, and I want to make sure we're not scrambling at the last minute. The auditors are going to want evidence going back several months so we need to be organized now. Tyler Washington: Do we have the audit window confirmed? Last I heard it was still ten",customer_support,internal
01KQ1A6B7E81B06F4A13B60D,Support Case #6977 - Brightpath Commerce Slow Backup Performance,"Kendra Wallace from a retail company contacted Aegis Cloud Security support regarding severely degraded backup performance, with nightly jobs taking 4-6 hours instead of the usual 90 minutes over the past three weeks. David Kim identified a likely root cause: Kendra's environment is running backup agent version 3.4.1, which has a known change block tracking issue that causes over-scanning, while a fix was released in version 3.6.0 in late January. David acknowledged a process gap in that Kendra was not notified about the update. The resolution plan includes upgrading to 3.6.0 and a follow-up call on Monday, with escalation to senior engineering promised if the issue persists.",2,1,1,"David Kim: Hi, is this Kendra? This is David Kim calling from Aegis Cloud Security support, I have case number 6977 pulled up here. Kendra Wallace: Yes, hi David, thanks for calling back. I've been waiting on this - we submitted that ticket two days ago. David Kim: I completely understand, and I apologize for the delay getting back to you. I want to make sure we get this sorted out today. So you're seeing slow backup performance with Aegis Protect - can you walk me through what you're experiencing? Kendra Wallace: Yeah, so - I mean, it's been terrible honestly. Our nightly backup jobs are taking, uh, somewhere between four and six hours to complete. They used to finish in under ninety minute",customer_support,customer_support
01KQ1DC6CA536DE1B31ED8F5,Aegis / Atlas Precision - Contract Discussion,"Rachel Torres and Maria Santos from Aegis met with Wayne Keller of Atlas to discuss the upcoming end-of-March contract renewal and billing concerns. Wayne's finance team flagged overage charges on the Aegis Detect module for January and February, which were caused by the addition of two new production facilities expanding event volume beyond the 500 million monthly cap. Rachel proposed upgrading to a 750 million event tier at an additional $310/month, which would likely be more cost-effective than continued overages. Wayne also expressed interest in exploring the Aegis Comply module for SOC 2 reporting, and both sides agreed on an annual renewal with a mid-March internal target deadline.",3,2,1,"Rachel Torres: Hey Wayne, thanks for making time today - I know your schedule's been pretty packed lately. Wayne Keller: Yeah, no, appreciate it. February's always a little hectic on our end, quarter close and all that. Rachel Torres: Totally understandable. I've got Maria Santos from our customer success team on the line as well - Maria, you want to say hi? Maria Santos: Hey Wayne, good to meet you. I've been supporting the Atlas account for a few months now so I'm pretty familiar with your setup. Wayne Keller: Good to have you both on. So Rachel mentioned this was around the contract renewal and some billing questions - is that still the main agenda? Rachel Torres: Yeah, that's exactly rig",external,external
01KQ1DCC80852AE384C898C9,Aegis / Quantum Edge - Renewal Concerns,"Maria Santos met with Brianna Foster and Leo Marquez to address a serious six-hour outage on March 10-11 that caused a loss of visibility in Aegis Detect, breaching their 99.5% uptime SLA. The customer expressed eroded confidence in platform reliability and revealed they are actively evaluating a competitor, SentinelShield, which is offering aggressive pricing and a 99.9% SLA. Additional concerns included platform stagnation, upcoming compliance needs (SOC 2, HIPAA), and budget constraints going into renewal. Maria outlined next steps including a renewal proposal with an SLA credit, pricing adjustments, access to the upcoming Comply v2 product, and an engineering call to address Leo's infrastructure concerns.",3,1,2,"Maria Santos: Hi Brianna, thanks for making time today - I know you're probably slammed this week. Brianna Foster: Yeah, honestly it's been a rough couple of weeks, but, um, we needed to have this conversation so here we are. Maria Santos: I totally understand, and I appreciate you being direct about that - I'd rather we just get into it than dance around things. Brianna Foster: I also pulled in Leo from our security engineering team because honestly he's the one who's been living in your platform day to day and he has, uh, a lot of thoughts. Maria Santos: Hey Leo, good to have you on - I've seen your support tickets come through and I definitely want to make sure we address what you've been",customer_support,external
01KQ1DE954A807A5D2653175,Comply v2 - Launch Readiness Review,"Megan and Chris conducted a launch readiness review for Comply v2, targeting an April 7th release. A recent Detect outage pulled two engineers off the project for four days, causing a 5-6 day slip on the HIPAA and ISO 27001 reporting engine, which has formatting issues in staging. The API is in good shape with beta customers, but customer-facing documentation for HIPAA and ISO 27001 is still in first draft and poses the biggest launch risk. They aligned on key deadlines, escalation paths, and a follow-up check-in for the following Tuesday.",2,2,0,"Megan Lawson: Hey Chris, you on? Chris Lee: Yeah, yeah I'm here. Sorry, just closing out a Slack thread real quick. Megan Lawson: No worries. So, okay, let's just dive in. We've got about - I have a hard stop at two so maybe forty minutes or so. Chris Lee: Yeah same, that works for me. Megan Lawson: Okay. So the main thing I wanted to go through today is just the launch readiness checklist for Comply v2. April 7th is, you know, it's coming up fast and I want to make sure we're actually aligned on where things stand. Chris Lee: Yeah, agreed. I think overall we're in decent shape but there are a few things I want to flag, um, before we get too deep into the checklist stuff. Megan Lawson: Sure,",customer_support,internal
